uid,install_timestamp,free_trial_timestamp,country,language,device_type,os_version,attribution_network,product_price_tier,product_periodicity,product_free_trial_length,onboarding_birth_year,onboarding_gender,net_purchases_15d,net_purchases_1y
wBmGYN3Z+l3OBvdnzv/fdw==,2019-06-07 00:01:44+00:00,2019-06-07 03:12:33+00:00,US,en,iPhone 6,12.2,Snapchat Installs,20,30,7,2005.0,M,0.0,0.0
s8j5KRaEXICNrKRsaBB8FQ==,2019-06-07 00:05:10+00:00,2019-06-08 07:39:48+00:00,US,en,iPhone X,12.3.1,Organic,6,7,7,2000.0,M,4.2,63.0
YpCrTmFIkyrv/8Xv2hNJcw==,2019-06-07 00:05:53+00:00,2019-06-07 00:07:01+00:00,GB,en,iPhone 8,12.3.1,Snapchat Installs,6,7,7,1994.0,M,0.0,0.0
U8WfGbQJ5rtEuMARYiLkkA==,2019-06-07 00:08:51+00:00,2019-06-07 00:10:59+00:00,US,en,iPhone 6S Plus,12.3.1,Organic,6,7,7,1992.0,F,4.2,4.900000095367432
996ECqYkUl6anviM65Npxg==,2019-06-07 00:12:01+00:00,2019-06-07 00:12:41+00:00,GB,en,iPhone 8,12.2,Organic,6,7,7,2000.0,M,4.13,98.9000015258789
3JbdT3YlJ52oc+/RI+ij1g==,2019-06-07 00:12:49+00:00,2019-06-07 00:13:28+00:00,US,en,iPhone 8,12.3.1,Organic,6,7,7,1998.0,F,0.0,0.0
+LciHyEeyK07tygB//cbVg==,2019-06-07 00:13:23+00:00,2019-06-07 00:14:29+00:00,MX,es,iPhone 6S,12.2,Organic,6,7,7,2000.0,F,0.0,0.0
HHwWzZuFjO6k360SleXlxg==,2019-06-07 00:16:42+00:00,2019-06-07 00:17:32+00:00,US,en,iPhone 7,12.3.1,Snapchat Installs,6,7,7,2001.0,F,0.0,0.0
bvT0v8IORMgSeQuRqOA59Q==,2019-06-07 00:19:04+00:00,2019-06-07 00:20:16+00:00,GB,en,iPhone 6,12.1.4,Organic,6,7,7,1994.0,F,4.13,20.3700008392334
Df3hrkNzyI19D82FM1+efQ==,2019-06-07 00:19:14+00:00,2019-06-07 00:19:52+00:00,US,en,iPhone 8,12.3.1,Organic,6,7,7,,,4.2,14.699999809265137
9yIwghKMHURgbc17WZEiAg==,2019-06-07 00:22:09+00:00,2019-06-07 00:22:50+00:00,US,en,iPhone 6S Plus,12.2,Snapchat Installs,6,7,7,2006.0,F,4.2,35.70000076293945
Rs7YVhBTUumGa/Zw2/D/Kw==,2019-06-07 00:22:15+00:00,2019-06-07 03:28:24+00:00,US,en,iPhone 7,12.1.2,Snapchat Installs,6,7,7,1987.0,?,4.2,65.0999984741211
n6/qKoPOKIyLK1qIQJ+aog==,2019-06-07 00:27:24+00:00,2019-06-07 00:28:18+00:00,US,en,iPhone XR,12.3.1,Organic,6,7,7,2001.0,F,4.2,18.899999618530273
RzKsIOe0Q0NNTYsN2CD/ig==,2019-06-07 00:30:04+00:00,2019-06-07 00:30:39+00:00,GB,en,iPhone 7,12.2,Facebook Installs,6,7,7,2002.0,F,2.06,2.059999942779541
